"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","609","Validar a inserção de registro","","Wed Nov 13 20:49:57 BRT 2024","passed","Wed Nov 13 20:49:58 BRT 2024","","Testes automatizados API - Tarefas 1 e 2","Testes automatizados API - Tarefas 1 e 2","Validar a inserção de registro"
"","274","Validar a edição de nome do registro","","Wed Nov 13 20:49:58 BRT 2024","passed","Wed Nov 13 20:49:58 BRT 2024","","Testes automatizados API - Tarefas 1 e 2","Testes automatizados API - Tarefas 1 e 2","Validar a edição de nome do registro"
"","283","Validar a edição de telefone do registro","","Wed Nov 13 20:49:58 BRT 2024","passed","Wed Nov 13 20:49:59 BRT 2024","","Testes automatizados API - Tarefas 1 e 2","Testes automatizados API - Tarefas 1 e 2","Validar a edição de telefone do registro"
"","935","Validar a exclusão do último registro","","Wed Nov 13 20:49:59 BRT 2024","broken","Wed Nov 13 20:50:00 BRT 2024","","Testes automatizados API - Tarefas 1 e 2","Testes automatizados API - Tarefas 1 e 2","Validar a exclusão do último registro"
"","390","Validar a exclusão de um registro","","Wed Nov 13 20:50:00 BRT 2024","broken","Wed Nov 13 20:50:00 BRT 2024","","Testes automatizados API - Tarefas 1 e 2","Testes automatizados API - Tarefas 1 e 2","Validar a exclusão de um registro"
"","186","Validar a edição de endereço do registro","","Wed Nov 13 20:49:59 BRT 2024","passed","Wed Nov 13 20:49:59 BRT 2024","","Testes automatizados API - Tarefas 1 e 2","Testes automatizados API - Tarefas 1 e 2","Validar a edição de endereço do registro"
